DEPTH,ROP,RPM,SWOB,TQA,HKLD,GRR
925.83,186.699144,141.0,2.3223929344,5.47750451125886,96.0980795082,
925.982,186.97956,140.33,2.4675424928,5.46394633177554,96.0799358134,
926.135,186.516264,141.0,2.4720784165,5.01652640882618,96.0617921186,40.96
926.287,186.699144,140.67,2.4539347217,5.00296822934287,96.0890076608,
926.44,187.104528,140.0,2.5537250431,5.26057363952583,96.1207591267,
926.592,186.653424,140.83,2.2861055448,5.40971361384229,96.1434387452,
926.744,186.443112,140.83,2.6535153645,5.15210820365932,96.0391125001,
926.897,186.184032,140.0,2.1999229945,5.04364276779281,96.0527202712,
927.049,185.565288,140.67,2.7533056859,5.38259725487566,95.9529299498,
927.202,186.29376,140.0,2.2498181552,5.613086306092,96.0028251105,
927.354,186.65952,140.5,2.6807309067,5.55885358815874,95.9665377209,
927.506,186.546744,141.0,2.3496084766,5.49106269074217,95.9620017972,
927.659,186.997848,140.2,2.4176473321,6.18252984439119,95.9892173394,
927.811,186.851544,140.33,2.5355813483,6.53504251095735,95.9529299498,
927.964,186.668664,140.33,2.585476509,6.57571704940729,95.9302503313,
928.116,185.845704,140.67,2.4312551032,5.76222628040845,96.025504729,
928.268,185.98896,140.0,2.4267191795,5.50462087022549,95.9892173394,
928.421,186.26328,141.0,2.5083658061,5.39615543435897,96.0118969579,
928.573,185.809128,140.17,2.3450725529,4.63689738329339,96.0527202712,
928.726,186.098688,140.0,2.585476509,3.87763933222781,95.9529299498,
928.878,186.022488,140.0,2.3632162477,4.29794289621054,96.0572561949,
929.03,186.254136,140.17,2.449398798,4.96229369089293,95.9620017972,
929.183,187.08624,141.0,2.449398798,5.20634092159258,96.0527202712,
929.335,186.96432,140.0,2.766913457,5.07075912675944,95.889427018,
929.488,186.744864,140.33,2.2543540789,5.11143366520938,95.9846814157,
929.64,194.063112,141.0,2.8848474732,5.21989910107589,95.9211784839,
929.792,201.110088,140.0,2.7170182963,5.23345728055921,95.8622114758,
929.945,201.204576,140.0,2.3904317899,5.27413181900915,95.9302503313,
930.097,202.4634,140.0,2.7805212281,5.46394633177554,95.8758192469,
930.25,204.853032,140.0,2.7895930755,5.54529540867543,95.8213881625,
930.402,206.724504,140.5,2.494758035,5.45038815229223,95.9710736446,
930.554,206.59344,140.2,2.8848474732,5.21989910107589,95.7941726203,
930.707,206.758032,140.8,2.7124823726,4.97585187037624,95.8758192469,
930.859,205.986888,140.8,2.3496084766,4.82671189605979,95.934786255,
931.012,206.072232,140.0,2.8485600836,4.96229369089293,95.8939629417,
931.164,203.609448,140.0,2.5537250431,5.20634092159258,95.9211784839,
931.316,198.677784,140.33,2.4221832558,5.31480635745909,96.0073610342,
931.469,197.461632,140.8,2.9619581761,5.39615543435897,95.8168522388,35.84
931.621,197.34276,140.0,2.3995036373,5.55885358815874,95.8349959336,
931.774,197.202552,140.0,2.4539347217,5.57241176764206,95.8712833232,
931.926,197.546976,140.0,2.7396979148,5.80290081885839,95.8168522388,
932.078,198.113904,141.0,2.4992939587,6.07406440852468,95.9438581024,
932.231,198.132192,141.0,2.7941289992,6.01983169059142,95.9075707128,
932.383,197.37324,140.83,2.3042492396,5.96559897265816,95.9665377209,
932.536,197.4342,140.0,2.494758035,5.84357535730834,95.9710736446,
932.688,198.418704,140.0,2.5355813483,5.40971361384229,95.9302503313,
932.84,198.787512,140.2,2.3042492396,5.27413181900915,95.9846814157,
932.993,198.208392,140.83,2.7714493807,5.55885358815874,95.889427018,
933.145,197.589648,140.0,2.7306260674,5.76222628040845,95.8984988654,
933.298,197.796912,140.0,2.494758035,5.93848261369153,95.9075707128,
933.45,198.144384,140.0,2.8349523125,6.16897166490787,95.8032444677,
933.602,197.467728,140.67,2.5537250431,6.20964620335781,95.798708544,
933.755,197.857872,140.67,2.8258804651,6.0062735111081,95.7578852307,
933.907,198.63816,140.2,2.9256707865,5.97915715214148,95.798708544,
934.06,198.116952,141.0,2.3450725529,6.11473894697462,95.9211784839,
934.212,214.06104,140.75,2.5809405853,6.20964620335781,95.8531396284,
934.352,,,,,,
934.364,238.710216,140.0,3.039068879,6.14185530594125,95.5492327405,
934.517,244.208808,140.0,3.1660747426,6.14185530594125,95.5855201301,
934.669,244.2972,140.0,2.9982455657,6.62994976734055,95.5446968168,
934.694,,,,,,
934.822,244.193568,140.0,3.0436048027,6.67062430579049,95.5945919775,
934.974,244.413024,140.4,2.5900124327,6.39946071612421,95.662630833,
935.065,,,,,,
935.126,244.48008,141.0,2.72155422,6.18252984439119,95.571912359,
935.279,244.46484,140.8,2.7124823726,5.7079935624752,95.7170619174,
935.407,,,,,,
935.431,244.391688,140.25,2.7034105252,5.59952812660868,95.662630833,
935.584,244.489224,141.0,3.0526766501,5.58596994712537,95.6218075197,
935.736,244.553232,141.0,2.8304163888,5.97915715214148,95.7488133833,
935.745,,,,,,
935.888,244.812312,141.0,2.8440241599,6.37234435715758,95.7125259937,
936.041,245.01348,141.0,2.8984552443,6.37234435715758,95.6943822989,38.4
936.087,,,,,,
936.193,244.501416,140.8,2.6807309067,6.31811163922433,95.6989182226,
936.346,244.214904,140.0,2.6353716697,6.03338987007473,95.6671667567,
936.425,,,,,,
936.498,244.452648,140.0,2.7442338385,5.81645899834171,95.7170619174,
936.65,244.733064,140.0,2.6489794408,5.73510992144182,95.7034541463,
936.766,,,,,,
936.803,244.961664,140.0,2.9982455657,5.7079935624752,95.6263434434,
936.955,244.909848,140.0,3.0617484975,5.65376084454194,95.6580949093,
937.105,,,,,,
937.108,245.065296,140.0,2.6988746015,5.58596994712537,95.6762386041,
