Time,BITLOSS,POWAREA,FLOWIN,ANNLOSS,PUMP,ECDTD,BITDEP,Depth
2016-08-14T17:16:30.000Z,0,0,0.0,0,-52428.892,0,0.0,3520
2016-08-14T17:17:00.000Z,0,0,0.0,0,-52244.814,0,0.0,3520
2016-08-14T17:17:30.000Z,0,0,0.0,0,-51806.055,0,0.0,3520
2016-08-14T17:18:00.000Z,0,0,0.0,0,-50632.593,0,0.0,3520
2016-08-14T17:18:30.000Z,0,0,0.0,0,-51991.23,0,0.0,3520
2016-08-14T17:19:00.000Z,0,0,0.0,0,-50959.623,0,0.0,3520
2016-08-14T17:19:30.000Z,0,0,0.0,0,-52382.898,0,0.0,3520
2016-08-14T17:20:00.000Z,0,0,0.0,0,-53111.604,0,0.0,3520
2016-08-14T17:20:30.000Z,0,0,0.0,0,-50852.795,0,0.0,3520
2016-08-14T17:21:00.000Z,0,0,0.0,0,-52871.969,0,0.0,3520
2016-08-14T17:21:30.000Z,0,0,0.0,0,-52791.531,0,0.0,3520
2016-08-14T17:22:00.000Z,0,0,0.0,0,-52823.508,0,0.0,3520
2016-08-14T17:22:30.000Z,0,0,0.0,0,-52638.367,0,0.0,3520
2016-08-14T17:23:00.000Z,0,0,0.0,0,-51815.686,0,0.0,3520
2016-08-14T17:23:30.000Z,0,0,0.0,0,-50563.191,0,0.0,3520
2016-08-14T17:24:00.000Z,0,0,0.0,0,-50951.603,0,0.0,3520
2016-08-14T17:24:30.000Z,0,0,0.0,0,-51307.936,0,0.0,3520
2016-08-14T17:25:00.000Z,0,0,0.0,0,-52125.305,0,0.0,3520
2016-08-14T17:25:30.000Z,0,0,0.0,0,-50560.141,0,0.0,3520
2016-08-14T17:26:00.000Z,0,0,0.0,0,-51878.405,0,0.0,3520
2016-08-14T17:26:30.000Z,0,0,0.0,0,-52807.228,0,0.0,3520
2016-08-14T17:27:00.000Z,0,0,0.0,0,-52092.814,0,0.0,3520
2016-08-14T17:27:30.000Z,0,0,0.0,0,-52492.777,0,0.0,3520
2016-08-14T17:28:00.000Z,0,0,0.0,0,-52977.152,0,0.0,3520
2016-08-14T17:28:30.000Z,0,0,0.0,0,-53205.545,0,0.0,3520
2016-08-14T17:29:00.000Z,0,0,0.0,0,-53193.687,0,0.0,3520
2016-08-14T17:29:30.000Z,0,0,0.0,0,-52294.406,0,0.0,3520
2016-08-14T17:30:00.000Z,0,0,0.0,0,-51870.213,0,0.0,3520
2016-08-14T17:30:30.000Z,0,0,0.0,0,-51987.392,0,0.0,3520
2016-08-14T17:31:00.000Z,0,0,0.0,0,-51795.43,0,0.0,3520
2016-08-14T17:31:30.000Z,0,0,0.0,0,-51740.491,0,0.0,3520
2016-08-14T17:32:00.000Z,0,0,0.0,0,-51893.725,0,0.0,3520
2016-08-14T17:32:30.000Z,0,0,0.0,0,-51872.373,0,0.0,3520
2016-08-14T17:33:00.000Z,0,0,0.0,0,-52768.672,0,0.0,3520
2016-08-14T17:33:30.000Z,0,0,0.0,0,-51989.517,0,0.0,3520
2016-08-14T17:34:00.000Z,0,0,0.0,0,-51661.561,0,0.0,3520
2016-08-14T17:34:30.000Z,0,0,0.0,0,-49993.99,0,0.0,3520
2016-08-14T17:35:00.000Z,0,0,0.0,0,-51410.034,0,0.0,3520
2016-08-14T17:35:30.000Z,0,0,0.0,0,-51263.861,0,0.0,3520
2016-08-14T17:36:00.000Z,0,0,0.0,0,-51785.491,0,0.0,3520
2016-08-14T17:36:30.000Z,0,0,0.0,0,-50876.375,0,0.0,3520
2016-08-14T17:37:00.000Z,0,0,0.0,0,-51090.442,0,0.0,3520
2016-08-14T17:37:30.000Z,0,0,0.0,0,-50356.561,0,0.0,3520
2016-08-14T17:38:00.000Z,0,0,0.0,0,-50683.317,0,0.0,3520
2016-08-14T17:38:30.000Z,0,0,0.0,0,-52140.728,0,0.0,3520
2016-08-14T17:39:00.000Z,0,0,0.0,0,-51687.54,0,0.0,3520
2016-08-14T17:39:30.000Z,0,0,0.0,0,-52042.297,0,0.0,3520
2016-08-14T17:40:00.000Z,0,0,0.0,0,-52360.621,0,0.0,3520
2016-08-14T17:40:30.000Z,0,0,0.0,0,-51138.218,0,0.0,3520
2016-08-14T17:41:00.000Z,0,0,0.0,0,-51170.263,0,0.0,3520
2016-08-14T17:41:30.000Z,0,0,0.0,0,-50953.694,0,0.0,3520
2016-08-14T17:42:00.000Z,0,0,0.0,0,-51779.185,0,0.0,3520
2016-08-14T17:42:30.000Z,0,0,0.0,0,-51813.869,0,0.0,3520
2016-08-14T17:43:00.000Z,0,0,0.0,0,-50672.863,0,0.0,3520
2016-08-14T17:43:30.000Z,0,0,0.0,0,-50223.377,0,0.0,3520
2016-08-14T17:44:00.000Z,0,0,0.0,0,-49851.245,0,0.0,3520
2016-08-14T17:44:30.000Z,0,0,0.0,0,-51007.022,0,0.0,3520
2016-08-14T17:45:00.000Z,0,0,0.0,0,-52076.809,0,0.0,3520
2016-08-14T17:45:30.000Z,0,0,0.0,0,-51152.715,0,0.0,3520
2016-08-14T17:46:00.000Z,0,0,0.0,0,-51454.04,0,0.0,3520
2016-08-14T17:46:30.000Z,0,0,0.0,0,-52024.886,0,0.0,3520
2016-08-14T17:47:00.000Z,0,0,0.0,0,-52892.636,0,0.0,3520
2016-08-14T17:47:30.000Z,0,0,0.0,0,-53909.54,0,0.0,3520
2016-08-14T17:48:00.000Z,0,0,0.0,0,-51274.212,0,0.0,3520
2016-08-14T17:48:30.000Z,0,0,0.0,0,-51867.369,0,0.0,3520
2016-08-14T17:49:00.000Z,0,0,0.0,0,-50140.437,0,0.0,3520
2016-08-14T17:49:30.000Z,0,0,0.0,0,-50338.979,0,0.0,3520
2016-08-14T17:50:00.000Z,0,0,0.0,0,-50301.142,0,0.0,3520
2016-08-14T17:50:30.000Z,0,0,0.0,0,-50608.534,0,0.0,3520
2016-08-14T17:51:00.000Z,0,0,0.0,0,-51610.495,0,0.0,3520
2016-08-14T17:51:30.000Z,0,0,0.0,0,-49821.976,0,0.0,3520
2016-08-14T17:52:00.000Z,0,0,0.0,0,-50364.032,0,0.0,3520
2016-08-14T17:52:30.000Z,0,0,0.0,0,-50549.859,0,0.0,3520
2016-08-14T17:53:00.000Z,0,0,0.0,0,-50633.861,0,0.0,3520
2016-08-14T17:53:30.000Z,0,0,0.0,0,-50701.07,0,0.0,3520
2016-08-14T17:54:00.000Z,0,0,0.0,0,-51382.479,0,0.0,3520
2016-08-14T17:54:30.000Z,0,0,0.0,0,-51704.951,0,0.0,3520
2016-08-14T17:55:00.000Z,0,0,0.0,0,-51882.723,0,0.0,3520
2016-08-14T17:55:30.000Z,0,0,0.0,0,-51515.868,0,0.0,3520
2016-08-14T17:56:00.000Z,0,0,0.0,0,-51562.993,0,0.0,3520
2016-08-14T17:56:30.000Z,0,0,0.0,0,-50080.495,0,0.0,3520
2016-08-14T17:57:00.000Z,0,0,0.0,0,-52101.965,0,0.0,3520
2016-08-14T17:57:30.000Z,0,0,0.0,0,-51381.485,0,0.0,3520
2016-08-14T17:58:00.000Z,0,0,0.0,0,-51430.427,0,0.0,3520
2016-08-14T17:58:30.000Z,0,0,0.0,0,-51553.294,0,0.0,3520
2016-08-14T17:59:00.000Z,0,0,0.0,0,-51193.088,0,0.0,3520
2016-08-14T17:59:30.000Z,0,0,0.0,0,-49754.973,0,0.0,3520
2016-08-14T18:00:00.000Z,0,0,0.0,0,-50619.672,0,0.0,3520
2016-08-14T18:00:30.000Z,0,0,0.0,0,-51005.0,0,0.0,3520
2016-08-14T18:01:00.000Z,0,0,0.0,0,-51093.423,0,0.0,3520
2016-08-14T18:01:30.000Z,0,0,0.0,0,-51501.542,0,0.0,3520
2016-08-14T18:02:00.000Z,0,0,0.0,0,-51428.816,0,0.0,3520
2016-08-14T18:02:30.000Z,0,0,0.0,0,-52683.093,0,0.0,3520
2016-08-14T18:03:00.000Z,0,0,0.0,0,-53246.33,0,0.0,3520
2016-08-14T18:03:30.000Z,0,0,0.0,0,-50593.522,0,0.0,3520
2016-08-14T18:04:00.000Z,0,0,0.0,0,-50572.273,0,0.0,3520
2016-08-14T18:04:30.000Z,0,0,0.0,0,-51501.405,0,0.0,3520
2016-08-14T18:05:00.000Z,0,0,0.0,0,-50741.58,0,0.0,3520
2016-08-14T18:05:30.000Z,0,0,0.0,0,-49921.949,0,0.0,3520
2016-08-14T18:06:00.000Z,0,0,0.0,0,-51075.19,0,0.0,3520
2016-08-14T18:06:30.000Z,0,0,0.0,0,-50005.163,0,0.0,3520
2016-08-14T18:07:00.000Z,0,0,0.0,0,-50650.963,0,0.0,3520
