DEPTH,PHIF,SW,VSH,KLOGH
3678.7836,0.208589,0.5263,0.659206,0.0
3678.936,0.207531,0.5253,0.659961,0.0
3679.0884,0.219844,0.497,0.660716,0.0
3679.2408,0.222035,0.4862,0.661471,0.0
3679.3932,0.22365,0.4816,0.662226,0.0
3679.5456,0.227405,0.4802,0.662981,0.0
3679.698,0.210818,0.5152,0.663736,0.0
3679.8504,0.180764,0.584,0.664491,0.0
3680.0028,0.191891,0.5619,0.665246,0.0
3680.1552,0.217105,0.5115,0.666001,0.0
3680.3076,0.225773,0.4944,0.666756,0.0
3680.46,0.226878,0.4916,0.667511,0.0
3680.6124,0.231166,0.484,0.668267,0.0
3680.7648,0.22797,0.4863,0.669022,0.0
3680.9172,0.222066,0.492,0.669777,0.0
3681.0696,0.232218,0.4722,0.670532,0.0
3681.222,0.216193,0.4929,0.671287,0.0
3681.3744,0.224162,0.4765,0.672042,0.0
3681.5268,0.211877,0.4955,0.672797,0.0
3681.6792,0.21879,0.484,0.673552,0.0
3681.8316,0.223101,0.4766,0.674307,0.0
3681.984,0.221512,0.4781,0.675062,0.0
3682.1364,0.232751,0.4604,0.675817,0.0
3682.2888,0.218872,0.4815,0.676572,0.0
3682.4412,0.225244,0.4719,0.677327,0.0
3682.5936,0.204384,0.5062,0.678082,0.0
3682.746,0.219296,0.4779,0.678838,0.0
3682.8984,0.221497,0.4676,0.679593,0.0
3683.0508,0.238642,0.4333,0.680348,0.0
3683.2032,0.223715,0.4454,0.681103,0.0
3683.3556,0.224727,0.4402,0.681858,0.0
3683.508,0.25472,0.4022,0.682613,0.0
3683.6604,0.258587,0.3986,0.683368,0.0
3683.8128,0.254854,0.4028,0.684123,0.0
3683.9652,0.24038,0.4192,0.684878,0.0
3684.1176,0.255853,0.3974,0.685633,0.0
3684.27,0.25752,0.3907,0.686388,0.0
3684.4224,0.244139,0.4014,0.687143,0.0
3684.5748,0.238731,0.4029,0.687898,0.0
3684.7272,0.23871,0.3956,0.688653,0.0
3684.8796,0.276196,0.3466,0.689409,0.0
3685.032,0.284377,0.3311,0.690164,0.0
3685.1844,0.32243,0.3,0.690919,0.0
3685.3368,0.273313,0.3451,0.691674,0.0
3685.4892,0.281687,0.3482,0.692429,0.0
3685.6416,0.264584,0.3727,0.693184,0.0
3685.794,0.274691,0.366,0.693939,0.0
3685.9464,0.267769,0.3757,0.694694,0.0
3686.0988,0.217939,0.4447,0.695449,0.0
3686.2512,0.229055,0.4393,0.696204,0.0
3686.4036,0.237601,0.436,0.696959,0.0
3686.556,0.231744,0.4503,0.697714,0.0
3686.7084,0.209764,0.4904,0.698469,0.0
3686.8608,0.21182,0.4917,0.699224,0.0
3687.0132,0.186659,0.5411,0.699979,0.0
3687.1656,0.217084,0.4818,0.700735,0.0
3687.318,0.237554,0.4455,0.70149,0.0
3687.4704,0.229066,0.452,0.702245,0.0
3687.6228,0.225819,0.4534,0.703,0.0
3687.7752,0.212954,0.4722,0.703755,0.0
3687.9276,0.215045,0.4692,0.70451,0.0
3688.08,0.213983,0.4713,0.705265,0.0
3688.2324,0.210765,0.4758,0.70602,0.0
3688.3848,0.208611,0.4768,0.706775,0.0
3688.5372,0.214493,0.4641,0.70753,0.0
3688.6896,0.201664,0.4832,0.708285,0.0
3688.842,0.242848,0.4214,0.70904,0.0
3688.9944,0.193743,0.4971,0.709795,0.0
3689.1468,0.206936,0.4734,0.71055,0.0
3689.2992,0.189853,0.5032,0.711306,0.0
3689.4516,0.164616,0.5571,0.712061,0.0
3689.604,0.18433,0.512,0.712816,0.0
3689.7564,0.199939,0.4817,0.713571,0.0
3689.9088,0.208033,0.4673,0.714326,0.0
3690.0612,0.225737,0.4387,0.715081,0.0
3690.2136,0.199031,0.4783,0.715836,0.0
3690.366,0.238553,0.4167,0.716591,0.0
3690.5184,0.185158,0.5,0.717346,0.0
3690.6708,0.185482,0.4996,0.718101,0.0
3690.8232,0.163528,0.5509,0.718856,0.0
3690.9756,0.184326,0.5102,0.719611,0.0
3691.128,0.171021,0.5444,0.720366,0.0
3691.2804,0.191317,0.5034,0.721121,0.0
3691.4328,0.198895,0.4883,0.721877,0.0
3691.5852,0.187679,0.5081,0.722632,0.0
