DEPTH,GR,RT,RHOB,NPHI,PEF
2826.1,3.8424,2.2755,,,
2826.2,3.9971,2.2435,,,
2826.3,3.6665,2.2059,,,
2826.4,3.1611,2.1626,,,
2826.5,3.1921,2.0976,,,
2826.6,2.8096,2.0641,,,
2826.7,3.257,2.0776,,,
2826.8,3.1662,2.0684,,,
2826.9,3.8101,2.0978,,,
2827.0,4.733,2.0846,,,
2827.1,3.6711,2.1171,,,
2827.2,2.625,2.21,,,
2827.3,2.7252,2.3092,,,
2827.4,2.3299,2.4372,,,
2827.5,2.1466,2.7177,,,
2827.6,1.9732,3.0003,,,
2827.7,3.1503,3.2738,,,
2827.8,3.3636,3.5244,,,
2827.9,3.4938,3.8719,,,
2828.0,4.1276,4.2558,,,
2828.1,4.2548,4.5674,,,
2828.2,4.6772,4.8037,,,
2828.3,4.5934,5.1081,,,
2828.4,5.5306,5.365,,,
2828.5,5.8413,5.8012,,,
2828.6,5.207,6.3319,,,
2828.7,4.6763,6.5402,,,
2828.8,4.6355,6.7713,,,
2828.9,4.4295,7.2144,,,
2829.0,3.7836,7.7058,,,
2829.1,3.4755,7.9768,,,
2829.2,4.0203,8.2013,,,
2829.3,4.46,8.5864,,,
2829.4,4.0931,8.9606,,,
2829.5,4.4162,9.1377,,,
2829.6,3.9914,9.4011,,,
2829.7,3.594,9.5993,,,
2829.8,4.361,10.19,,,
2829.9,4.5257,10.9578,,,
2830.0,4.4574,11.5639,,,
2830.1,3.9354,12.4136,,,
2830.2,3.7621,13.3475,,,
2830.3,5.5705,14.6426,,,
2830.4,4.7027,15.7633,,,
2830.5,4.4653,16.2142,,,
2830.6,4.6386,16.3659,,,
2830.7,4.8967,16.497,,,
2830.8,4.4589,16.5078,,,
2830.9,3.378,16.4971,,,
2831.0,2.703,16.5466,,,
2831.1,1.9511,16.5288,,,
2831.2,2.2306,16.3474,,,
2831.3,1.9733,16.1444,,,
2831.4,1.9135,15.4822,,,
2831.5,1.8225,14.5626,,,
2831.6,1.6396,14.1638,,,
2831.7,2.6004,13.9459,,,
2831.8,3.8264,13.4373,,,
2831.9,4.1272,12.0879,,,
2832.0,3.6711,10.9002,,,
2832.1,2.9253,9.8916,,,
2832.2,2.6202,9.2388,,,
2832.3,2.4109,8.783,,,
2832.4,3.6798,8.2046,,,
2832.5,3.762,7.441,,,
2832.6,3.6891,6.912,,,
2832.7,3.6718,6.3096,,,
2832.8,4.2024,5.7507,,,
2832.9,4.3755,5.6032,,,
2833.0,3.9066,5.6816,,,
2833.1,4.5157,5.6617,,,
2833.2,4.4517,5.4723,,,
2833.3,4.8968,5.3151,,,
2833.4,5.4333,5.2401,,,
2833.5,4.6226,5.3587,,,
2833.6,4.5262,5.7111,,,
2833.7,4.6938,6.0524,,,
2833.8,4.8599,5.8701,,,
2833.9,4.8115,5.3469,,,
2834.0,6.11,4.8453,,,
2834.1,5.2011,4.2661,,,
2834.2,5.3725,3.8443,,,
2834.3,5.8376,3.5695,,,
2834.4,5.1532,3.3608,,,
2834.5,6.4219,3.2757,,,
2834.6,5.9141,3.2625,,,
2834.7,4.3794,3.3083,,,
2834.8,4.5395,3.4229,,,
2834.9,5.7847,3.556,,,
2835.0,5.2954,3.7657,,,
2835.1,4.9282,3.9286,,,
2835.2,4.2781,3.97,,,
2835.3,4.393,4.0032,,,
2835.4,4.2951,4.1399,,,
2835.5,5.2991,4.373,,,
2835.6,3.8798,4.5804,,,
2835.7,3.811,4.7292,,,
2835.8,4.5672,4.9267,,,
2835.9,6.4679,5.0928,,,
2836.0,5.4779,5.1642,,,
2836.1,4.8584,5.1893,,,
2836.2,4.334,5.1583,,,
2836.3,3.8711,5.117,,,
2836.4,4.7059,5.0989,,,
2836.5,5.7023,5.0439,,,
2836.6,5.6237,4.9371,,,
2836.7,5.1217,4.8305,,,
2836.8,4.6221,4.7409,,,
2836.9,4.5522,4.6414,,,
2837.0,5.2282,4.5675,,,
2837.1,6.4497,4.465,,,
2837.2,5.1975,4.4082,,,
2837.3,4.5107,4.3478,,,
2837.4,4.5815,4.2324,,,
2837.5,4.8233,4.0552,,,
2837.6,5.0191,3.8167,,,
2837.7,4.6671,3.5669,,,
2837.8,4.5181,3.408,,,
2837.9,3.8726,3.3222,,,
2838.0,4.0186,3.3121,,,
2838.1,4.5117,3.3758,,,
2838.2,5.009,3.4621,,,
2838.3,5.1229,3.5743,,,
2838.4,5.0235,3.7024,,,
2838.5,5.2928,3.7669,,,
2838.6,5.0304,3.8172,,,
2838.7,4.1088,3.7825,,,
2838.8,4.6867,3.6865,,,
2838.9,5.3159,3.5637,,,
2839.0,4.5421,3.4072,,,
2839.1,3.8223,3.2395,,,
2839.2,3.5536,3.1131,,,
2839.3,4.1499,2.9768,,,
2839.4,3.5756,2.8712,,,
2839.5,4.1048,2.8222,,,
2839.6,3.8813,2.805,,,
2839.7,3.6273,2.7966,,,
2839.8,2.6815,2.641,,,
2839.9,2.6082,2.4164,,,
2840.0,3.4928,2.2987,,,
2840.1,4.2817,2.1793,,,
2840.2,4.6519,2.1152,,,
2840.3,4.4766,2.0849,,,
2840.4,4.2899,2.0858,,,
2840.5,5.4928,2.1461,,,
2840.6,4.5994,2.187,,,
2840.7,4.9422,2.2347,,,
2840.8,5.1301,2.2815,,,
2840.9,4.952,2.4114,,,
2841.0,4.3797,2.6857,,,
2841.1,4.522,2.9544,,,
2841.2,4.9187,3.1275,,,
2841.3,4.7869,3.5082,,,
2841.4,4.39,3.7895,,,
2841.5,4.9708,3.8694,,,
2841.6,4.3902,3.8805,,,
2841.7,4.3585,3.801,,,
2841.8,3.8773,3.5993,,,
2841.9,3.1465,3.364,,,
2842.0,3.0744,3.1826,,,
2842.1,3.3679,3.1331,,,
2842.2,2.5266,3.1666,,,
2842.3,3.4352,3.1784,,,
2842.4,4.0668,3.147,,,
2842.5,4.4243,3.1088,,,
2842.6,4.471,3.0915,,,
2842.7,4.2473,3.152,,,
2842.8,5.3938,3.3141,,,
2842.9,5.8798,3.5085,,,
2843.0,4.9942,3.7342,,,
2843.1,5.1295,3.913,,,
2843.2,6.8494,3.9107,,,
2843.3,5.6632,3.7654,,,
2843.4,5.0542,3.5998,,,
2843.5,5.5044,3.4885,,,
2843.6,3.7516,3.4204,,,
2843.7,3.168,3.4092,,,
2843.8,2.9214,3.4503,,,
2843.9,3.222,3.5365,,,
2844.0,3.1447,3.6196,,,
2844.1,3.1544,3.7044,,,
2844.2,3.592,3.8173,,,
2844.3,4.4474,3.9684,,,
2844.4,4.0206,4.2051,,,
2844.5,4.609,4.5023,,,
2844.6,6.0373,4.787,,,
2844.7,5.9086,4.9616,,,
2844.8,6.141,4.9621,,,
2844.9,5.4387,4.7751,,,
2845.0,5.2389,4.6482,,,
2845.1,5.6224,4.4175,,,
2845.2,4.6531,4.1649,,,
2845.3,4.7748,3.9695,,,
2845.4,4.3315,3.8411,,,
2845.5,4.0913,3.7416,,,
2845.6,4.0963,3.6894,,,
2845.7,4.3688,3.6767,,,
2845.8,4.2808,3.7033,,,
2845.9,3.9069,3.7341,,,
2846.0,3.3719,3.6965,,,
2846.1,3.4286,3.6184,,,
2846.2,3.506,3.5259,,,
2846.3,4.2067,3.4999,,,
2846.4,4.8999,3.4909,,,
2846.5,4.638,3.4744,,,
2846.6,4.7266,3.5162,,,
2846.7,4.603,3.5512,,,
2846.8,4.1825,3.4974,,,
2846.9,3.9688,3.3986,,,
2847.0,4.1716,3.3002,,,
2847.1,4.1368,3.1253,,,
2847.2,4.7794,2.9686,,,
2847.3,5.0098,2.949,,,
2847.4,5.5081,3.0549,,,
2847.5,4.5827,3.2121,,,
2847.6,4.7005,3.3436,,,
2847.7,5.3527,3.3406,,,
2847.8,5.1979,3.1738,,,
2847.9,4.7797,2.9776,,,
2848.0,5.3463,2.7923,,,
2848.1,4.5616,2.7763,,,
2848.2,4.2535,2.8732,,,
2848.3,4.8873,3.018,,,
2848.4,5.048,3.1912,,,
2848.5,5.7228,3.4027,,,
2848.6,6.6342,3.5665,,,
2848.7,6.7555,3.6553,,,
2848.8,7.0035,3.7069,,,
2848.9,4.8801,3.7284,,,
2849.0,3.8453,3.667,,,
2849.1,3.7004,3.6996,,,
2849.2,3.8322,3.7573,,,
2849.3,4.2343,3.7085,,,
2849.4,4.4582,3.6402,,,
2849.5,4.3846,3.6572,,,
2849.6,3.4214,3.7342,,,
2849.7,2.5919,3.8863,,,
2849.8,2.3322,4.1361,,,
2849.9,3.6119,4.3924,,,
2850.0,4.6807,4.8431,,,
2850.1,5.8914,5.4225,,,
2850.2,7.0424,6.3014,,,
2850.3,7.7464,6.3694,,,
2850.4,6.9843,6.5788,,,
2850.5,7.1794,6.7125,,,
2850.6,6.4043,6.9229,,,
2850.7,6.0748,7.1023,,,
2850.8,6.1146,7.2764,,,
2850.9,5.8549,7.3996,,,
2851.0,5.8472,7.4344,,,
2851.1,4.9752,7.4819,,,
2851.2,4.7197,7.5041,,,
2851.3,4.9231,7.4911,,,
2851.4,4.8536,7.4527,,,
2851.5,6.0734,7.3989,,,
2851.6,7.4688,7.3194,,,
2851.7,8.2237,7.0162,,,
2851.8,5.5561,7.1639,,,
2851.9,5.1904,7.3597,,,
2852.0,4.2297,7.502,,,
2852.1,5.5136,7.6573,,,
2852.2,7.0208,7.6403,,,
2852.3,7.6929,7.5491,,,
2852.4,7.1171,7.5015,,,
2852.5,6.2666,7.573,,,
2852.6,6.3884,7.7019,,,
2852.7,5.8584,7.8827,,,
2852.8,5.9019,8.1507,,,
2852.9,6.8923,8.4911,,,
2853.0,5.3843,8.6478,,,
2853.1,4.9275,8.655,,,
2853.2,5.033,8.5436,,,
2853.3,6.0541,8.3771,,,
2853.4,5.4195,8.1532,,,
2853.5,6.3289,7.9326,,,
2853.6,5.5318,7.8638,,,
2853.7,5.0412,7.8961,,,
2853.8,4.5416,8.0826,,,
2853.9,5.2474,8.1143,,,
2854.0,5.1935,8.0565,,,
2854.1,4.7706,7.9745,,,
2854.2,5.0692,7.86,,,
2854.3,3.9282,7.8341,,,
2854.4,4.112,8.0455,,,
2854.5,4.2184,8.3298,,,
2854.6,4.6441,8.433,,,
2854.7,4.3,8.5888,,,
2854.8,4.4599,8.7076,,,
2854.9,5.1155,8.6261,,,
2855.0,6.7422,8.3395,,,
2855.1,6.5274,8.1912,,,
2855.2,5.3426,8.1699,,,
2855.3,4.2493,8.2567,,,
2855.4,4.3988,8.6263,,,
2855.5,4.027,8.817,,,
2855.6,4.1274,8.8046,,,
2855.7,3.2097,8.7755,,,
2855.8,4.2199,8.6981,,,
2855.9,5.0602,8.4202,,,
2856.0,5.2457,8.2751,,,
2856.1,5.3665,8.6213,,,
2856.2,4.7918,8.8423,,,
2856.3,4.0155,8.8906,,,
2856.4,5.1453,8.681,,,
2856.5,6.3994,8.4743,,,
2856.6,5.3319,8.4553,,,
2856.7,5.7708,8.4829,,,
2856.8,5.5238,8.5935,,,
2856.9,4.8066,8.8112,,,
2857.0,4.7854,8.9906,,,
2857.1,5.7207,9.208,,,
2857.2,6.4755,9.4647,,,
2857.3,6.707,9.5241,,,
2857.4,5.1472,9.4163,,,
2857.5,5.846,9.3512,,,
2857.6,6.1556,9.5695,,,
2857.7,5.9602,9.9383,,,
2857.8,6.4969,10.2871,,,
2857.9,6.6441,10.4494,,,
2858.0,5.277,10.4458,,,
2858.1,5.7904,10.3111,,,
2858.2,5.6288,10.1022,,,
2858.3,5.7886,9.9314,,,
2858.4,6.3801,9.9995,,,
2858.5,6.0065,10.3886,,,
2858.6,5.3785,10.5826,,,
2858.7,4.8672,10.4151,,,
2858.8,6.2343,9.7472,,,
2858.9,7.8504,8.7989,,,
2859.0,8.2415,8.5539,,,
2859.1,7.8784,8.7583,,,
2859.2,9.2202,8.3662,,,
2859.3,7.1341,7.6741,,,
2859.4,7.3663,6.7009,,,
2859.5,7.8335,6.9667,,,
2859.6,7.1602,7.7276,,,
2859.7,6.2773,8.2415,,,
2859.8,4.7508,8.5632,,,
2859.9,3.9542,8.3922,,,
2860.0,4.7529,7.8423,,,
2860.1,5.7075,7.7335,,,
2860.2,7.1685,7.6271,,,
2860.3,7.4286,7.0483,,,
2860.4,10.4702,6.1817,,,
2860.5,12.2783,5.6815,,,
2860.6,12.0746,5.9625,,,
2860.7,11.956,6.206,,,
2860.8,11.3335,6.1919,,,
2860.9,10.7274,5.8687,,,
2861.0,11.2553,5.657,,,
2861.1,9.958,5.7142,,,
2861.2,7.1078,6.1458,,,
2861.3,4.9364,6.7593,,,
2861.4,4.9126,6.684,,,
2861.5,5.755,6.2479,,,
2861.6,6.2109,5.9934,,,
2861.7,5.7997,6.1018,,,
2861.8,6.4702,6.1255,,,
2861.9,5.736,5.9886,,,
2862.0,6.0062,6.0693,,,
2862.1,5.8717,6.1612,,,
2862.2,6.4675,6.2504,,,
2862.3,4.4269,6.373,,,
2862.4,3.8827,6.3829,,,
2862.5,4.5769,6.3826,,,
2862.6,4.8203,6.3381,,,
2862.7,3.9108,6.3484,,,
