DEPTH,GR,RT,RHOB,NPHI,DTS
3119.5,9.892,3.372,2.528,0.124,127.753
3119.6,9.773,3.29,2.526,0.126,126.84
3119.7,10.185,3.133,2.524,0.127,126.706
3119.8,9.707,3.056,2.521,0.127,127.152
3119.9,9.037,2.973,2.519,0.125,128.732
3120.0,8.397,2.925,2.518,0.121,129.188
3120.1,9.145,2.9,2.519,0.121,129.181
3120.2,9.501,2.837,2.522,0.125,129.681
3120.3,9.831,2.753,2.523,0.128,129.602
3120.4,9.731,2.71,2.523,0.131,129.236
3120.5,10.316,2.679,2.521,0.132,129.443
3120.6,9.191,2.64,2.518,0.133,127.876
3120.7,8.42,2.623,2.512,0.13,125.105
3120.8,8.315,2.594,2.507,0.128,124.283
3120.9,8.251,2.531,2.505,0.126,122.365
3121.0,7.815,2.471,2.506,0.124,119.476
3121.1,7.499,2.462,2.509,0.122,118.52
3121.2,6.734,2.459,2.513,0.119,117.652
3121.3,6.159,2.454,2.516,0.119,116.879
3121.4,5.661,2.45,2.517,0.117,117.147
3121.5,5.969,2.447,2.519,0.114,117.593
3121.6,6.034,2.452,2.52,0.117,118.209
3121.7,6.312,2.453,2.521,0.116,118.96
3121.8,6.796,2.468,2.521,0.12,119.504
3121.9,6.924,2.488,2.521,0.123,119.691
3122.0,6.308,2.491,2.521,0.126,120.026
3122.1,7.078,2.504,2.521,0.128,120.637
3122.2,7.254,2.552,2.521,0.13,121.746
3122.3,7.551,2.573,2.52,0.131,122.623
3122.4,7.49,2.596,2.52,0.131,123.432
3122.5,7.723,2.619,2.52,0.128,124.203
3122.6,8.185,2.666,2.519,0.128,124.456
3122.7,8.367,2.702,2.517,0.125,124.465
3122.8,8.363,2.724,2.516,0.124,124.213
3122.9,8.744,2.761,2.519,0.122,124.131
3123.0,8.598,2.814,2.526,0.122,124.252
3123.1,8.175,2.877,2.531,0.121,124.94
3123.2,7.974,2.919,2.534,0.121,125.985
3123.3,8.66,2.944,2.536,0.118,127.162
3123.4,8.924,2.967,2.537,0.118,128.064
3123.5,8.734,2.977,2.537,0.118,128.412
3123.6,8.574,3.008,2.536,0.118,128.345
3123.7,9.165,3.023,2.534,0.117,127.59
3123.8,9.604,3.096,2.531,0.117,126.624
3123.9,8.883,3.164,2.528,0.117,125.518
3124.0,8.967,3.197,2.527,0.114,124.801
3124.1,9.256,3.212,2.528,0.118,124.243
3124.2,8.965,3.293,2.531,0.119,123.83
3124.3,8.125,3.302,2.533,0.12,123.507
3124.4,8.268,3.325,2.533,0.119,123.25
3124.5,8.282,3.324,2.533,0.116,123.067
3124.6,8.579,3.401,2.53,0.114,122.634
3124.7,8.839,3.423,2.526,0.114,122.187
3124.8,8.454,3.442,2.524,0.11,121.739
3124.9,8.108,3.488,2.524,0.107,121.183
3125.0,8.266,3.527,2.526,0.106,120.981
3125.1,8.448,3.552,2.531,0.103,121.377
3125.2,7.144,3.603,2.537,0.1,121.618
3125.3,7.572,3.627,2.544,0.097,121.717
3125.4,7.723,3.651,2.549,0.094,121.577
3125.5,7.828,3.684,2.55,0.092,121.235
3125.6,7.474,3.675,2.551,0.09,120.763
3125.7,6.872,3.706,2.554,0.089,120.085
3125.8,7.347,3.712,2.559,0.088,120.434
3125.9,6.953,3.725,2.565,0.088,120.84
3126.0,7.022,3.715,2.571,0.09,120.366
3126.1,6.757,3.712,2.576,0.089,119.274
3126.2,6.747,3.696,2.58,0.087,117.964
3126.3,6.402,3.719,2.582,0.084,116.798
3126.4,5.714,3.663,2.581,0.084,115.73
3126.5,6.09,3.655,2.578,0.085,115.049
3126.6,6.004,3.64,2.573,0.085,116.448
3126.7,5.198,3.611,2.568,0.086,117.202
3126.8,5.2,3.636,2.564,0.089,117.607
3126.9,5.641,3.629,2.562,0.09,118.554
3127.0,4.905,3.645,2.563,0.091,119.188
