DEPTH,GR,RT,RHOB,NPHI,DT
3020.568,40.0839996,6.16429996,2.30200004,0.0859,65.6678009
3020.7204,41.5886001,5.34899997,2.37680006,0.0872,72.8408966
3020.8728,42.1002006,4.58580017,2.40899991,0.0907,74.2967987
3021.0252,40.9868011,4.55980014,2.37319993,0.089,68.7505035
3021.1776,40.7761001,4.68179988,2.37899994,0.0869,66.6641998
3021.33,38.4589996,5.14779996,2.34610009,0.0907,65.6107025
3021.4824,39.9636001,5.14890003,2.40949988,0.09529999,64.7832031
3021.6348,40.8664016,4.84060001,2.39989995,0.09839999,68.435501
3021.7872,43.6952018,5.58809995,2.38030004,0.09579999,71.5876998
3021.9396,43.3040008,6.13920021,2.31680011,0.0942,73.2096023
3022.092,45.9221,6.37629985,2.3657,0.09709999,67.6712036
3022.2444,43.4845008,6.55630016,2.36859989,0.10549999,64.9473037
3022.3968,43.1836013,6.67729997,2.39429998,0.10939999,64.5660018
3022.5492,40.9868011,6.78359985,2.3434,0.10999999,64.3703994
3022.7016,41.7089996,6.9822998,2.33960008,0.10559999,62.9485015
3022.854,39.9936981,7.06939983,2.30010008,0.10059999,63.0676002
3023.0064,39.1811981,7.1156001,2.30520009,0.09579999,66.0668029
3023.1588,38.1880989,7.22329998,2.31739997,0.08489999,65.5955963
3023.3112,39.3016014,7.37090015,2.27320003,0.0812,63.3777008
3023.4636,43.5145988,7.7400999,2.25279998,0.07339999,62.9325981
3023.616,44.8086013,7.89659976,2.23709988,0.07379999,67.3135986
3023.7684,46.2229995,7.60349988,2.31750011,0.07329999,67.0211029
3023.9208,43.0029983,7.27199983,2.39490008,0.0746,64.9729995
3024.0732,45.500801,6.94049978,2.46799993,0.0771,67.2844009
3024.2256,46.5840988,7.30389976,2.4368,0.08569999,66.6035995
3024.378,48.780899,5.19640016,2.39490008,0.10459999,71.8115997
3024.5304,50.405899,3.29130005,2.33030009,0.12139999,73.9503021
3024.6828,51.007801,2.88770008,2.28040003,0.12349999,75.3420028
3024.8352,50.6166,2.94230008,2.25609993,0.11789999,75.4557037
3024.9876,48.6906013,3.17770004,2.28099989,0.10939999,74.7116012
3025.14,50.0147018,3.14820003,2.31710004,0.10339999,72.6591033
3025.2924,47.5169982,3.22140002,2.31080007,0.10019999,70.4929962
3025.4448,46.7346,3.4749,2.3110001,0.09719999,67.0038986
3025.5972,41.6186981,3.59349989,2.31940007,0.0939,68.0649032
3025.7496,43.4243011,3.73309993,2.33069992,0.0926,67.9832992
3025.902,45.4104995,3.66709995,2.33400011,0.09539999,67.964302
3026.0544,45.4104995,3.59739995,2.39350008,0.10119999,70.8993988
3026.2068,46.7044982,3.53469991,2.35929989,0.10159999,73.6074981
3026.3592,44.5979995,3.47860002,2.36960005,0.0991,71.3507995
3026.5116,46.1929016,3.51049995,2.31139993,0.0969,72.3635025
3026.664,45.711399,3.32540011,2.36249995,0.09709999,75.0401992
3026.8164,48.8410987,3.33109998,2.35640001,0.0988,73.2910003
3026.9688,50.3456993,3.36400008,2.31800007,0.1018,72.3648986
3027.1212,48.5401992,3.31780004,2.3124001,0.1049,74.2809982
3027.2736,46.523899,3.32489991,2.27690005,0.1027,72.0652008
3027.426,44.8086013,3.27589988,2.29450011,0.10419999,75.7313003
3027.5784,45.8017005,3.31929993,2.27509999,0.10629999,70.5481033
3027.7308,44.9892005,3.29990005,2.28830003,0.11429999,69.7095031
3027.8832,45.1095008,3.32879996,2.29110002,0.11689999,69.5139007
3028.0356,46.1026,3.38420009,2.28259992,0.11689999,70.4082031
3028.188,46.313301,3.25530004,2.26579999,0.11469999,69.3339996
3028.3404,47.6072998,3.27670001,2.2565999,0.111,71.6256027
3028.4928,45.1997985,3.39170002,2.27320003,0.10649999,70.7705993
3028.6452,46.1026,3.421,2.29060006,0.09899999,72.1603012
3028.7976,44.3872985,3.51559996,2.31529998,0.09329999,70.0643997
3028.95,45.8017005,3.49900007,2.31019997,0.0934,70.2731018
3029.1024,44.8086013,3.41790008,2.31620001,0.09059999,70.889801
3029.2548,44.3270988,3.36919999,2.3104,0.09099999,71.4389038
3029.4072,43.9057998,3.48729991,2.30699992,0.0881,69.6654968
3029.5596,43.3941993,3.49950003,2.30150008,0.09,69.498703
3029.712,45.0793991,3.58459997,2.28119993,0.08959999,69.6641006
3029.8644,44.3872985,3.72169995,2.29180002,0.0921,71.6634979
3030.0168,44.4776,3.71620011,2.32369995,0.089,70.1091995
3030.1692,43.7854003,3.66650009,2.36420011,0.089,71.0248031
3030.3216,44.5979003,3.90619993,2.3427999,0.08969999,66.9067993
3030.474,44.2970008,3.90799999,2.31579995,0.0957,66.2722015
3030.6264,47.8179016,3.80509996,2.31669998,0.10379999,68.481697
3030.7788,49.3226013,3.63439989,2.32730007,0.11469999,71.8281021
3030.9312,51.5494995,3.47740006,2.32109999,0.1289,71.7854995
3031.0836,52.7532005,3.35820007,2.33999991,0.13719999,73.6567001
3031.236,51.3387985,3.12829995,2.33520007,0.1419,73.9963989
3031.3884,52.7230987,2.91689991,2.38400006,0.1394,73.9289016
3031.5408,55.0102005,2.87459993,2.39199995,0.1462,72.8464965
3031.6932,58.7416992,2.9841001,2.38660001,0.1508,74.7322998
3031.8456,58.6515007,2.93580007,2.35260009,0.15919999,76.1544036
3031.998,54.9500007,2.91540002,2.32109999,0.15919999,76.8468017
3032.1504,55.2509002,2.60360002,2.39140009,0.15199999,77.3958969
3032.3028,55.9430999,2.30660009,2.37520003,0.1481,76.5319976
3032.4552,59.8552017,2.40709996,2.39260005,0.13819999,77.5233993
3032.6076,60.4269981,2.35590004,2.30999994,0.1368,77.8700027
3032.76,65.2418975,2.22609996,2.26939988,0.13889999,78.2233963
3032.9124,64.5496978,2.0222001,2.25259995,0.148,79.3284988
3033.0648,67.0774993,1.92780005,2.30500006,0.15369999,78.3523025
3033.2172,66.174797,1.85930001,2.34060001,0.15139999,79.245903
3033.3696,66.8668975,1.82109999,2.36139988,0.14499999,80.2462997
3033.522,59.1329002,1.85169994,2.33710002,0.12649999,76.0304031
3033.6744,52.1212005,2.39450001,2.34870004,0.1076,72.1638031
3033.8268,44.5979003,2.94619989,2.32579994,0.0938,68.7863006
3033.9792,43.9057998,3.40289998,2.31130003,0.08659999,66.6043014
3034.1316,44.086399,3.70560002,2.31450009,0.0807,67.4220962
3034.284,44.3872985,3.91359996,2.31710004,0.0772,67.5130004
3034.4364,43.8757019,4.28669977,2.32599997,0.07419999,65.4460983
3034.5888,38.5792999,4.91480016,2.33310008,0.067,66.7447967
3034.7412,37.6764984,5.26429986,2.33080005,0.0608,66.3024978
3034.8936,35.6903991,5.33790016,2.35030007,0.0553,63.6036987
